customer_id,purchase_amount,date_purchase
4018,4619,2/5/2023
4115,2456,7/11/2023
4019,2102,3/23/2023
4097,3126,3/15/2023
3997,3003,11/27/2022
4080,2914,12/11/2022
4055,2571,7/8/2023
3973,2419,11/10/2022
4044,4771,5/19/2023
4010,4233,6/11/2023
4108,2356,3/19/2023
4067,4418,11/21/2022
4068,3728,12/9/2022
4102,2130,1/29/2023
4044,2122,8/1/2023
4096,2383,4/10/2023
4017,2895,7/17/2023
4001,2952,6/13/2023
3976,4069,6/18/2023
4103,4465,11/21/2022
4081,2108,3/25/2023
3986,4298,4/5/2023
4108,2814,2/11/2023
4109,4932,12/20/2022
4075,4661,4/12/2023
4040,4872,8/25/2023
4099,4232,10/25/2022
3981,3718,9/10/2023
4070,2902,8/4/2023
4002,3839,5/26/2023
4035,4413,12/23/2022
4060,3139,1/26/2023
3974,2026,4/16/2023
4110,2653,10/11/2022
3984,4859,12/19/2022
4109,3731,3/2/2023
4054,3393,2/28/2023
4040,3138,5/12/2023
4083,2636,4/9/2023
4122,2881,2/22/2023
3972,3378,5/6/2023
3980,2418,5/26/2023
4012,2379,5/29/2023
3992,101,12/13/2022
4105,164,10/20/2022
4119,21,4/3/2023
3957,147,11/4/2022
3994,,5/16/2023
3995,30,11/23/2022
4072,170,10/15/2022
4093,102,5/25/2023
4031,190,1/14/2023
4056,,11/2/2022
4114,84,6/15/2023
4104,69,5/27/2023
4071,107,12/3/2022
4007,172,4/5/2023
4009,51,4/16/2023
4038,63,2/13/2023
4033,189,8/31/2023
4102,175,6/5/2023
4034,,7/1/2023
4068,146,8/26/2023
4045,51,1/27/2023
3979,79,6/5/2023
4106,173,9/7/2023
3959,66,11/2/2022
4113,24,1/20/2023
4087,18,11/21/2022
4060,112,6/8/2023
3989,64,3/13/2023
4032,155,3/8/2023
3972,90,1/26/2023
4051,137,6/30/2023
4097,174,10/10/2022
3970,77,1/5/2023
3957,,5/16/2023
4100,147,3/2/2023
4048,159,11/8/2022
3985,159,3/5/2023
4029,66,6/16/2023
3964,45,3/17/2023
4017,33,9/28/2023
4067,38,5/25/2023
4108,,9/10/2023
4057,,1/2/2023
4117,162,4/16/2023
4038,,10/27/2022
4054,129,12/23/2022
4060,151,7/17/2023
4054,12,12/29/2022
4068,39,3/21/2023
4096,147,2/11/2023
4011,174,4/21/2023
4001,85,9/17/2023
4078,126,6/29/2023
3992,,4/26/2023
4005,194,12/16/2022
4099,138,5/20/2023
4055,139,1/5/2023
4049,170,7/13/2023
4063,173,6/23/2023
3996,60,3/4/2023
4030,,10/25/2022
3989,148,5/19/2023
3991,145,5/3/2023
3959,163,5/9/2023
3975,14,2/7/2023
4122,,12/10/2022
3961,88,10/7/2022
3993,71,5/18/2023
4081,30,9/1/2023
4068,,4/13/2023
3991,27,9/16/2023
3978,146,1/15/2023
3992,42,12/14/2022
4121,150,6/3/2023
4063,,11/5/2022
4073,165,9/28/2023
4111,64,1/15/2023
4065,196,3/24/2023
4116,192,1/16/2023
4003,181,7/9/2023
4073,122,4/25/2023
4087,125,6/2/2023
4065,,5/3/2023
4098,96,9/21/2023
4072,,12/11/2022
4055,160,4/3/2023
4047,28,8/7/2023
4014,25,12/5/2022
4004,18,1/21/2023
4065,28,6/29/2023
4111,81,5/10/2023
3958,64,6/17/2023
4104,195,6/2/2023
4084,156,8/8/2023
4017,72,10/28/2022
4085,114,4/28/2023
4025,,9/10/2023
4062,,9/22/2023
4096,118,10/17/2022
4104,196,2/13/2023
4050,,6/23/2023
3965,175,6/26/2023
3966,,4/21/2023
4102,96,7/31/2023
4080,37,9/14/2023
4051,58,1/29/2023
3985,45,12/31/2022
4105,81,10/31/2022
4080,29,9/22/2023
3977,150,3/22/2023
3993,,4/9/2023
4091,148,1/30/2023
4028,33,2/11/2023
4076,70,10/5/2022
4089,,3/28/2023
3977,64,10/15/2022
4090,25,9/18/2023
4113,,6/27/2023
3979,,8/7/2023
4019,126,12/15/2022
4077,188,6/1/2023
4118,152,1/12/2023
3976,134,7/24/2023
4119,,5/4/2023
4095,24,11/13/2022
4105,148,3/18/2023
4036,,8/3/2023
4113,22,5/20/2023
3970,138,5/9/2023
4044,145,2/10/2023
4093,,10/6/2022
3959,30,3/11/2023
4077,27,1/8/2023
4073,182,9/16/2023
4088,113,9/2/2023
4077,,3/15/2023
4103,73,4/30/2023
4041,20,5/20/2023
4064,117,10/31/2022
4047,154,6/1/2023
4032,76,6/15/2023
4031,193,8/2/2023
3999,77,5/27/2023
3966,181,6/14/2023
4109,127,9/30/2023
4034,28,3/24/2023
4101,,3/27/2023
4023,154,2/9/2023
3972,28,12/22/2022
4118,139,5/13/2023
4078,99,11/10/2022
4105,72,7/29/2023
4000,50,9/27/2023
4103,149,10/16/2022
3970,166,2/2/2023
4031,177,6/28/2023
4116,180,2/11/2023
3963,86,12/16/2022
4030,36,1/2/2023
4081,44,6/3/2023
3978,37,1/17/2023
3989,49,4/26/2023
4086,164,12/7/2022
3976,97,5/23/2023
4028,172,1/15/2023
4021,139,1/2/2023
3990,23,11/1/2022
4114,,9/28/2023
4028,80,12/31/2022
4027,,12/30/2022
4022,43,8/27/2023
3960,77,12/16/2022
3985,,6/5/2023
4111,190,11/23/2022
4001,12,11/25/2022
4108,,11/9/2022
3995,186,5/27/2023
4071,149,4/9/2023
4051,,8/31/2023
4001,151,6/9/2023
4023,,5/8/2023
4017,,8/8/2023
4081,20,12/2/2022
4003,63,6/10/2023
4092,180,11/25/2022
3965,,5/6/2023
4044,114,12/25/2022
3978,49,10/31/2022
3994,70,3/1/2023
4109,55,12/21/2022
3996,16,8/13/2023
4083,,7/7/2023
4062,115,4/10/2023
4055,198,11/29/2022
4017,78,2/26/2023
4069,,2/16/2023
4120,107,7/11/2023
3999,130,4/26/2023
4010,127,7/24/2023
4104,68,7/12/2023
4045,178,1/29/2023
3970,,10/18/2022
4121,27,4/11/2023
4024,81,12/30/2022
3986,140,11/24/2022
3970,147,5/7/2023
3999,17,7/25/2023
4075,,10/6/2022
4059,55,1/16/2023
4078,77,7/28/2023
4034,,1/1/2023
4078,98,1/5/2023
4093,90,10/17/2022
4016,140,1/2/2023
4054,,5/1/2023
4056,58,7/20/2023
4078,191,7/10/2023
4024,143,10/9/2022
3994,147,11/19/2022
4092,199,2/15/2023
4068,60,1/4/2023
3960,27,9/14/2023
4030,94,4/23/2023
4071,179,2/16/2023
4054,194,6/12/2023
4037,139,11/10/2022
4092,114,11/2/2022
3967,188,5/6/2023
3981,42,7/8/2023
4093,,10/14/2022
4120,107,11/7/2022
4047,54,5/20/2023
4067,87,5/27/2023
4113,10,10/11/2022
4026,63,1/20/2023
4042,158,11/12/2022
4026,92,4/24/2023
4025,123,1/9/2023
3982,140,5/18/2023
4022,198,10/22/2022
4106,,3/26/2023
4057,,9/17/2023
4075,172,10/7/2022
4018,33,10/18/2022
4107,70,2/28/2023
4006,67,7/27/2023
4090,47,1/11/2023
4043,,1/16/2023
4003,131,1/4/2023
4037,28,5/1/2023
4097,171,5/24/2023
3959,193,1/3/2023
3959,136,2/8/2023
3974,47,2/22/2023
3960,11,4/12/2023
4062,37,7/24/2023
3982,66,1/24/2023
4091,,11/28/2022
3983,142,5/15/2023
4071,152,12/22/2022
4046,41,7/17/2023
4013,128,2/21/2023
4029,153,5/17/2023
